"hydroid"	"bundle"	"ftype"	"hydrocode"	"name"	"fstatus"	"address1"	"address2"	"city"	"state"	"postal_code"	"description"	"uid"	"status"	"module"	"feed_nid"	"dh_link_facility_mps"	"dh_nextdown_id"	"dh_areasqkm"	"dh_link_admin_location"	"field_dh_from_entity"	"field_dh_to_entity"	"dh_geofield"	"geom"
"444815"	"transfer"	"outfall"	"echo_VA0090743001"	"FROM VA0090743"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441981"	""	""	""	""	""	"POINT (-78.197166666576 38.001416666736)"	"POINT (-78.197166666576 38.001416666736)"
"444816"	"transfer"	"outfall"	"echo_VA0090743003"	"FROM VA0090743"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441981"	""	""	""	""	""	"POINT (-78.111694444846 37.98875000032)"	"POINT (-78.111694444846 37.98875000032)"
"444817"	"transfer"	"outfall"	"echo_VA0090786001"	"FROM VA0090786"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441984"	""	""	""	""	""	"POINT (-77.257500000347 36.916944444223)"	"POINT (-77.257500000347 36.916944444223)"
"444818"	"transfer"	"outfall"	"echo_VA0090794001"	"FROM VA0090794"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441985"	""	""	""	""	""	"POINT (-78.731944444266 38.556944444307)"	"POINT (-78.731944444266 38.556944444307)"
"444819"	"transfer"	"outfall"	"echo_VA0090824001"	"FROM VA0090824"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441986"	""	""	""	""	""	"POINT (-82.515556 37.097778)"	"POINT (-82.515556 37.097778)"
"444820"	"transfer"	"outfall"	"echo_VA0090875001"	"FROM VA0090875"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441987"	""	""	""	""	""	"POINT (-75.5384444447 37.943027777556)"	"POINT (-75.5384444447 37.943027777556)"
"444821"	"transfer"	"outfall"	"echo_VA0090883001"	"FROM VA0090883"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441988"	""	""	""	""	""	"POINT (-78.042499999694 39.088611111041)"	"POINT (-78.042499999694 39.088611111041)"
"444822"	"transfer"	"outfall"	"echo_VA0090891001"	"FROM VA0090891"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441989"	""	""	""	""	""	"POINT (-78.287500000194 37.705833333295)"	"POINT (-78.287500000194 37.705833333295)"
"444823"	"transfer"	"outfall"	"echo_VA0090891002"	"FROM VA0090891"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441989"	""	""	""	""	""	"POINT (-78.284722222486 37.694999999761)"	"POINT (-78.284722222486 37.694999999761)"
"444824"	"transfer"	"outfall"	"echo_VA0090891101"	"FROM VA0090891"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441989"	""	""	""	""	""	"POINT (-78.287500000194 37.705833333295)"	"POINT (-78.287500000194 37.705833333295)"
"444825"	"transfer"	"outfall"	"echo_VA0090891102"	"FROM VA0090891"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441989"	""	""	""	""	""	"POINT (-78.287500000194 37.705833333295)"	"POINT (-78.287500000194 37.705833333295)"
"444826"	"transfer"	"outfall"	"echo_VA0090905001"	"FROM VA0090905"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441990"	""	""	""	""	""	"POINT (-78.38319 37.86903)"	"POINT (-78.38319 37.86903)"
"444827"	"transfer"	"outfall"	"echo_VA0090905004"	"FROM VA0090905"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441990"	""	""	""	""	""	"POINT (-78.264999999681 37.851944000191)"	"POINT (-78.264999999681 37.851944000191)"
"444828"	"transfer"	"outfall"	"echo_VA0090905101"	"FROM VA0090905"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441990"	""	""	""	""	""	"POINT (-78.38319 37.86903)"	"POINT (-78.38319 37.86903)"
"444829"	"transfer"	"outfall"	"echo_VA0090905201"	"FROM VA0090905"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441990"	""	""	""	""	""	"POINT (-78.38319 37.86903)"	"POINT (-78.38319 37.86903)"
"444830"	"transfer"	"outfall"	"echo_VA0090905401"	"FROM VA0090905"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441990"	""	""	""	""	""	"POINT (-78.378701000375 37.865607999782)"	"POINT (-78.378701000375 37.865607999782)"
"444831"	"transfer"	"outfall"	"echo_VA0090905402"	"FROM VA0090905"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441990"	""	""	""	""	""	"POINT (-78.378713999896 37.865532000038)"	"POINT (-78.378713999896 37.865532000038)"
