"hydrocode"	"varkey"	"tsvalue"	"tstime"	"tsendtime"	"tscode"
"echo_VA0005291002"	"dmr_mon_mgd"	41.31	"10/01/2013"	"10/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.78	"11/01/2013"	"11/30/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.07	"12/01/2013"	"12/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	29.35	"01/01/2014"	"01/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.18	"02/01/2014"	"02/28/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.9	"03/01/2014"	"03/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	36.79	"04/01/2014"	"04/30/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.14	"05/01/2014"	"05/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.84	"06/01/2014"	"06/30/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	45.63	"07/01/2014"	"07/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	46.23	"08/01/2014"	"08/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.82	"09/01/2014"	"09/30/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.17	"10/01/2014"	"10/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.49	"11/01/2014"	"11/30/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	32.82	"12/01/2014"	"12/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	30.37	"01/01/2015"	"01/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	33.35	"02/01/2015"	"02/28/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	30.47	"03/01/2015"	"03/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.08	"04/01/2015"	"04/30/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.52	"05/01/2015"	"05/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.01	"06/01/2015"	"06/30/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	46.3	"07/01/2015"	"07/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.82	"08/01/2015"	"08/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.18	"09/01/2015"	"09/30/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	37.43	"10/01/2015"	"10/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.6	"11/01/2015"	"11/30/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.15	"12/01/2015"	"12/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	35.69	"01/01/2016"	"01/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.71	"02/01/2016"	"02/29/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	33.71	"03/01/2016"	"03/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.49	"04/01/2016"	"04/30/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	32.02	"05/01/2016"	"05/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.63	"06/01/2016"	"06/30/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.04	"07/01/2016"	"07/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	43.03	"08/01/2016"	"08/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	41.2	"09/01/2016"	"09/30/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	29.59	"10/01/2016"	"10/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	20.74	"11/01/2016"	"11/30/2016"	1
