"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Year","Water Use MGY","Water Use (MGD)","Latitude","Longitude","FIPS Code","Locality"
"224963","vwuds_tfr-0213-0154-TW-DL","Transfer","FROM FLUVANNA CO-FORK UNION","73872","BREMO BLUFF POWER PLANT","fossilpower","2002","0","0.00","37.709166666667","-78.287500000000","51065",""
"225133","vwuds_tfr-0343-0347-TW-DL","Transfer","FROM APPOMATTOX RIVER WA","73253","ROHOIC SERVICE AREA","municipal","1986","0","0.00","37.077777777778","-77.587500000000","51053",""
"225437","vwuds_tfr-0642-0643-TW-SD","Transfer","FROM PIGG RIVER WTP TO SA","73434","ROCKY MOUNT SERVICE AREA","municipal","1993","0","0.00","37.004166666667","-79.881666666667","51067",""
"224838","vwuds_tfr-0094-0221-TW-SD","Transfer","TO SERVICE AREA FROM WTP","74342","Food Processors North Fork Shenandoah WTP","manufacturing","2013","4.318","0.01","38.626666666667","-78.780000000000","51165",""
"225527","vwuds_tfr-0716-0113-TW-DL","Transfer","FROM WOODSTOCK (TOWN)","72381","EDINBURG PLANT","manufacturing","1998","0","0.00","38.876944444444","-78.611388888889","51171",""
"224861","vwuds_tfr-0162-0326-TW-DL","Transfer","FROM BUCHANAN CO PSA-DIRECT","72764","CLINCHCO SERVICE AREA","municipal","1988","62.376","0.17","37.161111111111","-82.358333333333","51051",""
"225971","vwuds_tfr-1955-0267-TW-SD","Transfer","FROM FAY SPRING TO SERV AREA","71849","WINCHESTER SERVICE AREA","municipal","1995","0","0.00","39.184166666667","-78.164444444444","51840",""
"224941","vwuds_tfr-0202-0321-TW-DL","Transfer","FROM WISE (TOWN)","71752","ESSERVILLE SERVICE AREA","municipal","2008","0","0.00","36.955000000000","-82.611666666667","51195",""
"224997","vwuds_tfr-0267-0109-TW-DL","Transfer","FROM WINCHESTER (CITY)","71683","WINCHESTER PLANT","manufacturing","1992","0","0.00","39.156944444444","-78.176388888889","51840",""
"225499","vwuds_tfr-0684-0426-TW-SD","Transfer","FROM WTP TO SERVICE AREA","66884","Northwest River/Western Branch Systems","municipal","1997","0","0.00","36.733333333333","-76.240000000000","51550",""
"225977","vwuds_tfr-1975-0248-TW-DL","Transfer","FROM NELSON COUNTY","73140","Lake Monacan-Stoney Creek (Wintergreen)","commercial","2001","0","0.00","37.931255700000","-78.811847700000","51125",""
"225527","vwuds_tfr-0716-0113-TW-DL","Transfer","FROM WOODSTOCK (TOWN)","72381","EDINBURG PLANT","manufacturing","1994","0","0.00","38.876944444444","-78.611388888889","51171",""
"224999","vwuds_tfr-0267-0146-TW-DL","Transfer","FROM WINCHESTER (CITY)","72988","WINCHESTER PLANT","manufacturing","2011","1.194","0.00","39.158333333333","-78.175000000000","51840",""
"225019","vwuds_tfr-0277-0282-TW-DL-NULL","Transfer","Transfer from 0277 to 0282","72835","GRIFFITH WATER TREATMENT PLANT","municipal","2007","0","0.00","38.867222000000","-77.273330000000","51153",""
"225825","vwuds_tfr-1113-1114-TW-SD","Transfer","FROM NOTTOWAY R TO LAKE PRINCE","66937","Norfolk City of Utilities Four Suffolk Wells","municipal","1985","4397.87","12.05","36.805555555556","-76.623611111111","51800",""
"225125","vwuds_tfr-0343-0008-TW-DL","Transfer","FROM APPOMATTOX R WATER AUTH","71754","PRINCE GEORGE COUNTY SERV AREA","municipal","1998","55.649","0.15","37.253662682220","-77.384225875139","51149",""
"224975","vwuds_tfr-0216-1474-TW-DL","Transfer","FROM LOUISA CO WATER AUTH","72254","LOUISA (TOWN) SERVICE AREA","municipal","1987","0","0.00","38.025000000000","-78.002777777778","51109",""
"224967","vwuds_tfr-0213-2080-TW-DL","Transfer","FROM FLUVANNA COUNTY","71933","FORK UNION MILITARY ACADEMY","commercial","2006","0","0.00","-99.000000000000","-99.000000000000","51065",""
"225497","vwuds_tfr-0683-0674-TW-SD","Transfer","FROM CLEARWELL TO SERV AR","73487","PORTSMOUTH SERVICE AREA","municipal","2005","0","0.00","36.833888888889","-76.297222222222","51740",""
"224995","vwuds_tfr-0248-1975-TW-DL","Transfer","FROM WINTERGREEN PARTNERS","71693","WINTERGREEN MTN SERVICE AREA","municipal","1995","41.7","0.11","37.913888888889","-78.944444444444","51125",""
"225549","vwuds_tfr-0724-0730-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72952","POUND SERVICE AREA","municipal","2012","0","0.00","37.123611111111","-82.602777777778","51195",""
"225129","vwuds_tfr-0343-0345-TW-DL","Transfer","FROM APPOMATTOX RIVER WA","72946","PETERSBURG SERVICE AREA","municipal","1995","0","0.00","37.223611111111","-77.394444444444","51730",""
