"hydrocode"	"varkey"	"entity_type"	"propname"	"propcode"	"startdate"	"enddate"	"proptext"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"07/01/2015"	"07/31/2015"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"05/01/2015"	"05/31/2015"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"06/01/2014"	"06/30/2014"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"08/01/2014"	"08/31/2014"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"06/01/2015"	"06/30/2015"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"12/01/2014"	"12/31/2014"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2015"	"01/31/2015"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"07/01/2014"	"07/31/2014"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"10/01/2014"	"10/31/2014"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"11/01/2014"	"11/30/2014"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"04/01/2015"	"04/30/2015"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"09/01/2014"	"09/30/2014"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"05/01/2014"	"05/31/2014"	"DMR Overdue, monitoring only required"
"echo_VA0065358001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"02/01/2015"	"02/28/2015"	"DMR Overdue, monitoring only required"
"echo_VA0066303001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0068543001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"01/01/2018"	"01/31/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0072044001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"06/01/2017"	"06/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0072389001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"01/01/2017"	"01/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0072991001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"07/01/2017"	"07/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0073156001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0073156001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"12/01/2015"	"12/31/2015"	"Effluent Violation"
"echo_VA0073636002"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"10/01/2017"	"12/31/2017"	"DMR Overdue, monitoring only required"
"echo_VA0073733001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0073733001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"01/01/2018"	"01/31/2018"	"Effluent Violation"
"echo_VA0074586001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"11/01/2015"	"11/30/2015"	"DMR Overdue, with a numeric limit"
"echo_VA0074934001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"06/01/2016"	"06/30/2016"	"Effluent Violation"
"echo_VA0074934001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0074934001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"10/01/2015"	"10/31/2015"	"Effluent Violation"
"echo_VA0075515001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"01/01/2017"	"01/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0076805001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"04/01/2014"	"04/30/2014"	"DMR Overdue, with a numeric limit"
"echo_VA0078131001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"08/01/2016"	"08/31/2016"	"Effluent Violation"
"echo_VA0081264001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"06/01/2014"	"06/30/2014"	"Effluent Violation"
"echo_VA0085171001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0085723001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2017"	"06/30/2017"	"DMR Overdue, monitoring only required"
"echo_VA0086720001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"01/01/2016"	"01/31/2016"	"Effluent Violation"
"echo_VA0086967001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"05/01/2018"	"05/31/2018"	"Effluent Violation"
"echo_VA0087114006"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"07/01/2017"	"09/30/2017"	"DMR Overdue, monitoring only required"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"06/01/2017"	"06/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"08/01/2017"	"08/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"06/01/2018"	"06/30/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"04/01/2018"	"04/30/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"11/01/2017"	"11/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"07/01/2017"	"07/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"09/01/2017"	"09/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"01/01/2018"	"01/31/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"02/01/2017"	"02/28/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"12/01/2017"	"12/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"05/01/2018"	"05/31/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"10/01/2017"	"10/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"03/01/2018"	"03/31/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0087173001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"02/01/2018"	"02/28/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0088684001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"07/01/2017"	"09/30/2017"	"DMR Overdue, monitoring only required"
"echo_VA0088684003"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"07/01/2017"	"09/30/2017"	"DMR Overdue, monitoring only required"
"echo_VA0090093001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2018"	"06/30/2018"	"DMR Overdue, monitoring only required"
"echo_VA0090093001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2016"	"06/30/2016"	"DMR Overdue, monitoring only required"
"echo_VA0090212001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2011"	"12/31/2011"	"DMR Overdue, monitoring only required"
"echo_VA0090280001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"12/01/2015"	"12/31/2015"	"Effluent Violation"
"echo_VA0090280001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"03/01/2016"	"03/31/2016"	"Effluent Violation"
"echo_VA0090280001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"09/01/2016"	"09/30/2016"	"Effluent Violation"
"echo_VA0090280001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"11/01/2015"	"11/30/2015"	"Effluent Violation"
"echo_VA0090280001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"01/01/2016"	"01/31/2016"	"Effluent Violation"
"echo_VA0090280001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"10/01/2015"	"10/31/2015"	"Effluent Violation"
"echo_VA0090280001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"05/01/2016"	"05/31/2016"	"Effluent Violation"
"echo_VA0090280001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"08/01/2016"	"08/31/2016"	"Effluent Violation"
"echo_VA0090531001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"04/01/2011"	"04/30/2011"	"Effluent Violation"
"echo_VA0090531001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"03/01/2011"	"03/31/2011"	"Effluent Violation"
"echo_VA0090531001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"01/01/2013"	"01/31/2013"	"Effluent Violation"
