"hydrocode"	"varkey"	"varcode"	"vardesc"	"propname"	"propvalue"	"proptext"	"propcode"
"echo_VA0052451107"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0090590006"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0087114006"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0092711006"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0087106005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004146005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VAN040086502"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0087882001"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004146005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004146005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0003867995"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004146104"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004146005"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0004146104"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
"echo_VA0002160011"	"dmr_flag_units"	"dmr_flag_units"	"Suspected Unit Conversion, flagged when ECHO Measured Effluent > 100 * Median"	"dmr_flag_units"	""	""	""
