"hydocode","bundle","ftype","name","from_node","to_node"
"VA0004669:VA0004669101","coneyance","water_transfer","From VA0004669 to VA0004669101","VA0004669:VA0004669101","VA0004669101"
"VA0004669:VA0004669102","coneyance","water_transfer","From VA0004669 to VA0004669102","VA0004669:VA0004669102","VA0004669102"
"VA0004669:VA0004669103","coneyance","water_transfer","From VA0004669 to VA0004669103","VA0004669:VA0004669103","VA0004669103"
"VA0004669:VA0004669750","coneyance","water_transfer","From VA0004669 to VA0004669750","VA0004669:VA0004669750","VA0004669750"
"VA0004677:VA0004677001","coneyance","water_transfer","From VA0004677 to VA0004677001","VA0004677:VA0004677001","VA0004677001"
"VA0004677:VA0004677007","coneyance","water_transfer","From VA0004677 to VA0004677007","VA0004677:VA0004677007","VA0004677007"
"VA0004677:VA0004677104","coneyance","water_transfer","From VA0004677 to VA0004677104","VA0004677:VA0004677104","VA0004677104"
"VA0004774:VA0004774001","coneyance","water_transfer","From VA0004774 to VA0004774001","VA0004774:VA0004774001","VA0004774001"
"VA0004774:VA0004774004","coneyance","water_transfer","From VA0004774 to VA0004774004","VA0004774:VA0004774004","VA0004774004"
"VA0004791:VA0004791001","coneyance","water_transfer","From VA0004791 to VA0004791001","VA0004791:VA0004791001","VA0004791001"
"VA0004804:VA0004804001","coneyance","water_transfer","From VA0004804 to VA0004804001","VA0004804:VA0004804001","VA0004804001"
"VA0004804:VA0004804002","coneyance","water_transfer","From VA0004804 to VA0004804002","VA0004804:VA0004804002","VA0004804002"
"VA0004804:VA0004804003","coneyance","water_transfer","From VA0004804 to VA0004804003","VA0004804:VA0004804003","VA0004804003"
